Year,Month,DayPeriod,Type,Operator,LocationType,Continent,Country,WaterBodyType,WaterBodyName,FederalSubject,CauseCategory,WeatherCondition,Survivors,FlightPhase,Aboard,Ground,Fatalities,SurvivalSeverity
1968,Dec,Unknown,Boeing 707-321CF,Pan American World Airways,Land,North America,United States,Unknown,Unknown,Alaska,Weather,Snow,No,Takeoff,3,0,3,None Survived
2006,Feb,Afternoon,Swearingen SA.226TC Metro II,TriCoastal Air,Land,North America,United States,Unknown,Unknown,Tennessee,Unknown,Clear,No,Unknown,1,0,1,None Survived
1919,May,Unknown,De Havilland DH-4,US Aerial Mail Service,Land,North America,United States,Unknown,Unknown,Ohio,Unknown,Unknown,No,Unknown,1,0,1,None Survived
1980,Jul,Unknown,Cessna 402B,Ryan Air Services,Land,North America,United States,Unknown,Unknown,Alaska,Weather,Unknown,No,Unknown,8,0,8,None Survived
1966,Aug,Unknown,Curtiss C-46D,Lloyd Aéreo Boliviano,Land,South America,Bolivia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived
1992,Aug,Unknown,Convair CV-440-80,Servicios Aereos Santa Ana,Land,South America,Bolivia,Unknown,Unknown,Unknown,Weather,Unknown,No,Unknown,10,0,10,None Survived
1970,May,Afternoon,McDonnell Douglas DC-9-33CF,Antillian Airlines,Land,Unknown,Unknown,Unknown,Unknown,US Virgin Islands,Weather,Rain,No,Landing,63,0,23,Partial Survived
1978,Oct,Unknown,Douglas C-47A-1-DK,Military - Finish Air Force,Land,Europe,Finland,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,15,0,15,None Survived
1972,Jun,Morning,Beechcraft E18S,Smyer Aircraft - Air Taxi,Land,North America,United States,Unknown,Unknown,Kansas,Unknown,Unknown,No,Unknown,2,0,2,None Survived
1974,Oct,Afternoon,Beechcraft 95-B55,Hlavka Aviation - Air Taxi,Land,North America,United States,Unknown,Unknown,Colorado,Weather,Unknown,No,Unknown,2,0,2,None Survived
1950,Mar,Unknown,Latecoere 631 (sea plane),SEMAF,Land,Europe,France,Unknown,Unknown,Unknown,Mechanical,Unknown,No,Unknown,12,0,12,None Survived
1980,May,Afternoon,Learjet 25D,Northeast Jet,Land,North America,United States,Unknown,Unknown,Florida,Unknown,Clear,No,Unknown,2,0,2,None Survived
1995,Jan,Evening,Aerospatiale ATR-72,Transasia Airways,Land,Asia,Taiwan,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,4,0,4,None Survived
1964,Apr,Unknown,Douglas DC-3,Aden Airways,Land,Africa,Somalia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,15,0,15,None Survived
1948,Dec,Unknown,Douglas DC-3,Ceskoslovenske Aerolinie,Land,Europe,Greece,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,23,0,23,None Survived
1977,Sep,Afternoon,Tupolev TU-134,Malev Hungarian Airlines,Land,Europe,Romania,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,53,0,29,Partial Survived
2004,May,Morning,Ilyushin II-76TD,AZAL Cargo Company,Land,Asia,China,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,7,0,7,None Survived
1949,Jan,Evening,Douglas DC-3C,Alaska Airlines,Land,North America,United States,Unknown,Unknown,Alaska,Weather,Rain,No,Unknown,6,0,5,Partial Survived
1969,Jan,Evening,Convair CV-580,Allegheny Airlines,Land,North America,United States,Unknown,Unknown,Pennsylvania,Weather,Snow,No,Landing,28,0,11,Partial Survived
1944,Apr,Unknown,Consolidated Liberator,Military - Royal Air Force,Land,North America,Canada,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,16,0,16,None Survived
1953,Oct,Unknown,Convair CV-240-12,Sabena,Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,44,0,44,None Survived
1938,Dec,Unknown,Lockheed 14-WF62 Super Electra,KLM Royal Dutch Airlines,Land,Europe,Netherlands,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,4,None Survived
1928,Oct,Unknown,Breguet 14,Aeropostale,Land,Europe,Spain,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,3,0,3,None Survived
1989,Aug,Afternoon,Beechcraft C90,Air Taxi,Land,North America,United States,Unknown,Unknown,Oregon,Weather,Fog,No,Landing,3,0,3,None Survived
1990,Sep,Afternoon,Boeing B-727-247,Faucett,Land,North America,Canada,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,18,0,18,None Survived
1973,Apr,Afternoon,Lockheed P-3C Orion /Convair CV-990,Military - U.S. Navy,Land,North America,United States,Unknown,Unknown,California,External,Clear,No,Landing,16,0,15,Partial Survived
1995,Jun,Evening,Piper PA-32-301,Air Taxi - Island Air Service,Land,North America,United States,Unknown,Unknown,Alaska,Weather,Rain,No,Unknown,4,0,4,None Survived
2003,Aug,Morning,Gates Learjet 35A,Jet Pro,Land,North America,United States,Unknown,Unknown,Connecticut,External,Unknown,No,Unknown,2,0,2,None Survived
1970,Nov,Morning,de Havilland RU-6A Beaver /Bell UH-1H,Military - Vietnamese Air Force / Military - U.S. Army,Land,Unknown,Unknown,Unknown,Unknown,South Vietnam,External,Unknown,No,Unknown,18,0,18,None Survived
1982,Sep,Morning,Cessna U206G,Air Taxi,Land,North America,United States,Unknown,Unknown,Alaska,Unknown,Unknown,Yes,Unknown,6,0,4,Partial Survived
1933,Dec,Unknown,Junkers W-34,Union Airways,Land,Africa,South Africa,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,6,0,4,Partial Survived
1960,Oct,Unknown,Curtiss C-46F,Capitol Airways,Land,North America,United States,Unknown,Unknown,Utah,Unknown,Unknown,No,Unknown,2,0,2,None Survived
1982,Jul,Unknown,Hawker Siddeley HS-748-209 Srs. 2,Philippine Air Lines,Land,Asia,Philippines,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,30,0,4,Partial Survived
1936,Oct,Unknown,Lockheed Orion,Mexicana,Land,North America,Mexico,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,1,0,1,None Survived
1957,May,Unknown,Douglas DC-3,Indian Airlines,Land,Asia,India,Unknown,Unknown,Unknown,Weather,Rain,No,Landing,2,3,2,None Survived
1955,Oct,Afternoon,Convair CV-340-58,JAT Yugoslav Airlines,Land,Europe,Austria,Unknown,Unknown,Unknown,Human Error,Unknown,No,Landing,29,0,7,Partial Survived
1971,Jan,Afternoon,Boeing B-707-323 / Cessna 150,American Airlines / Private,Land,North America,United States,Unknown,Unknown,New Jersey,External,Unknown,No,Unknown,21,0,2,Partial Survived
1987,May,Unknown,de Havilland Canada DHC-6 Twin Otter 300,Merpati Nusantara Airlines,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,8,0,8,None Survived
1997,Dec,Unknown,Lockheed C-130H Hercules,Military - Greek Air Force,Land,Europe,Greece,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,5,0,5,None Survived
1998,Feb,Afternoon,CASA 212-S1 Aviocar 100,Military - Spanish Air Force,Land,Europe,Spain,Unknown,Unknown,Unknown,Weather,Rain,No,Unknown,5,0,5,None Survived
1959,Oct,Evening,Douglas C-47A-DL,PacifiAir Lines,Land,North America,United States,Unknown,Unknown,California,Unknown,Clear,No,Unknown,19,1,1,Partial Survived
2000,Jun,Unknown,Kawasaki C-1A,Military - Japanese Air Self-Defence Force,Land,Asia,Japan,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,5,0,5,None Survived
1981,Apr,Unknown,Douglas C-47A,Urcupina,Land,South America,Bolivia,Unknown,Unknown,Unknown,Weather,Unknown,No,Unknown,7,0,7,None Survived
1985,Apr,Evening,Cessna 320B,Air Taxi - Eidoarie Inc.,Land,North America,United States,Unknown,Unknown,Louisiana,Unknown,Unknown,No,En Route,4,0,4,None Survived
1971,Sep,Morning,Boeing B-727-193,Alaska Airlines,Land,North America,United States,Unknown,Unknown,Alaska,Weather,Fog,No,Landing,111,0,111,None Survived
1945,Jul,Morning,North American B-25D bomber,Military - U.S. Army Air Forces,Land,North America,United States,Unknown,Unknown,New York,Weather,Fog,No,Unknown,3,11,3,None Survived
1984,Jan,Unknown,Tupolev TU-134A,Balkan Bulgarian Airlines,Land,Europe,Bulgaria,Unknown,Unknown,Unknown,Weather,Snow,No,Unknown,50,0,50,None Survived
2008,Jul,Morning,Beechcraft 99A,Aerocord,Land,South America,Chile,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,9,0,9,None Survived
1971,Jan,Unknown,de Havilland Comet 4C,United Arab Airlines,Land,Africa,Libya,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,16,0,16,None Survived
1946,Apr,Unknown,Unknown,TACA,Land,North America,Nicaragua,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,21,0,19,Partial Survived
2001,Apr,Afternoon,Mil Mi-18 Helicopter,SFC Vietnam - Charter - Full Account,Land,Asia,Vietnam,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,16,0,16,None Survived
1968,Jan,Afternoon,Douglas C-54P,Military - U.S. Marine Corps,Land,North America,United States,Unknown,Unknown,Nevada,Unknown,Unknown,No,Unknown,19,0,19,None Survived
1961,Sep,Morning,Lockheed 188C  Electra,Northwest Orient Airlines,Land,North America,United States,Unknown,Unknown,Illinois,Mechanical,Unknown,No,Takeoff,37,0,37,None Survived
1957,Jun,Morning,Douglas C-47A,Capital Airlines,Land,North America,United States,Unknown,Unknown,Maryland,Weather,Rain,No,Unknown,3,0,3,None Survived
1978,Feb,Afternoon,Boeing B-737-275,PacifiWestern Airlines,Land,North America,Canada,Unknown,Unknown,British Columbia,Weather,Snow,No,Landing,49,0,42,Partial Survived
1950,Oct,Unknown,Martin 202,Northwest Orient Airlines,Land,Unknown,Unknown,Unknown,Unknown,Minnisota,Unknown,Unknown,No,Unknown,6,0,6,None Survived
1946,Sep,Unknown,Douglas DC-3 (C-53D-DO),Air France,Land,Europe,Denmark,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,22,0,22,None Survived
1994,Jun,Afternoon,Fokker F-27 Friendship 500F,Merpati Nusantara Airlines,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Weather,Unknown,No,Landing,12,0,12,None Survived
1986,Oct,Afternoon,Tupolev TU-134A,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,92,0,70,Partial Survived
2006,Jun,Afternoon,KJ-2000,Military - Chinese Air Force,Land,Asia,China,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,40,0,40,None Survived
1965,Mar,Unknown,Tupolev TU-124,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,25,0,25,None Survived
2000,Apr,Morning,Boeing B-737-2H4,Air Philippines,Land,Asia,Philippines,Unknown,Unknown,Unknown,Weather,Unknown,No,Landing,131,0,131,None Survived
1930,Oct,Unknown,Latecoere 28,Aeropostale,Land,Africa,Morocco,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,4,None Survived
1943,Dec,Afternoon,Consolidated B-24 / Consolidated B-24,Military - U.S. Army Air Forces / Military - U.S. Army Air Forces,Watery,North America,United States,Gulf,"Lakeside,",Utah,External,Unknown,No,Unknown,25,0,25,None Survived
1961,Aug,Unknown,Douglas DC-3,Malev Hungarian Airlines,Land,Europe,Hungary,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,27,3,27,None Survived
1993,Nov,Evening,Antonov AN-124,Magistralnye Avialinii,Land,Asia,Iran,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,17,0,17,None Survived
1916,Nov,Unknown,Super Zeppelin (airship),Military - German Army,Land,Europe,Germany,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,28,0,27,Partial Survived
1946,Sep,Morning,Douglas DC-4-1009,Sabena,Land,Unknown,Unknown,Unknown,Unknown,Newfoundland,Weather,Unknown,No,Landing,44,0,27,Partial Survived
1988,Oct,Morning,Piper PA-32-300,Air Taxi - Northern Arizona Aircraft Inc.,Land,North America,United States,Unknown,Unknown,Arizona,Weather,Rain,No,En Route,5,0,5,None Survived
1965,Dec,Afternoon,Boeing B-707-131B / L1049C Constellation,Trans World Airlines / Eastern Air Lines,Land,North America,United States,Unknown,Unknown,New York,External,Unknown,No,Unknown,112,0,4,Partial Survived
1979,Mar,Evening,Fokker F-28 Fellowship 1000,Garuda Indonesia Airlines,Land,Asia,Indonesia,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,4,0,4,None Survived
2001,Oct,Morning,Cessna 208 Caravan,PenAir,Land,North America,United States,Unknown,Unknown,Alaska,Weather,Clear,No,Unknown,10,0,10,None Survived
1932,Aug,Unknown,CAMS 53,Air Orient,Land,Asia,Lebanon,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,7,0,1,Partial Survived
1977,Mar,Morning,Pipper PA-23-250 Aztec,Private,Watery,North America,Canada,Gulf,"Tezzeron Lake,",Unknown,Weather,Snow,No,Unknown,5,0,5,None Survived
1994,Dec,Afternoon,Boeing B-737-4Y0,Turkish Airlines (THY),Land,Europe,Turkey,Unknown,Unknown,Unknown,Weather,Snow,No,Landing,76,0,57,Partial Survived
1969,May,Morning,Fokker F-27 Friendship 600,Aero Transporti Italiani,Land,Europe,Italy,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,36,0,1,Partial Survived
1995,Jan,Evening,Lockheed 1329 Jetstar 8,Military - Iranian Air Force,Land,Asia,Iran,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,12,0,12,None Survived
1945,Jun,Unknown,de Havilland DH-86A,MaRobertson Miller Airlines,Land,Oceania,Australia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,11,0,2,Partial Survived
1960,Feb,Afternoon,Douglas DC-3 / USN R-6D-1,REAL / Military - U.S. Navy,Land,South America,Brazil,Unknown,Unknown,Unknown,External,Unknown,No,Landing,61,0,61,None Survived
1956,Feb,Unknown,Bristol 170 Freighter 31,Maritime Central Airways,Watery,North America,Canada,Gulf,"Frobisher Bay,",Unknown,Unknown,Unknown,No,Takeoff,2,0,2,None Survived
1953,Jan,Evening,Vickers Viking 610-1B,British European Airways,Land,Europe,Northern Ireland,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,35,0,27,Partial Survived
1979,Sep,Unknown,Aerospatiale Corvette,Sterling Airways,Land,Europe,France,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,10,0,10,None Survived
1989,Oct,Unknown,Boeing KC-135A,Military - U.S. Air Force,Land,North America,Canada,Unknown,Unknown,Ontario,Unknown,Unknown,No,Unknown,4,0,4,None Survived
1985,Jun,Unknown,Embraer 110P Bandeirante,TABA,Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,17,0,17,None Survived
1954,Apr,Unknown,Douglas C-54A,Autrex,Land,Asia,Vietnam,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,4,0,4,None Survived
2002,Jul,Afternoon,Cessna 310,Private,Land,North America,United States,Unknown,Unknown,California,Weather,Rain,No,Unknown,2,2,2,None Survived
1995,Jun,Morning,Convair CV-440,Salair,Land,North America,Dominican Republic,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,2,0,2,None Survived
2001,Mar,Unknown,Tupolev 154M,Vnukovo Airlines,Land,Asia,Saudi Arabia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,174,0,3,Partial Survived
1963,Jun,Unknown,Douglas DC-3,Union of Burma Airways,Land,Unknown,Unknown,Unknown,Unknown,Burma,Unknown,Unknown,No,Unknown,20,0,20,None Survived
1976,Nov,Unknown,L-100-20,PacifiWestern Airlines,Land,Africa,Congo,Unknown,Unknown,Kisangani,Unknown,Unknown,No,Unknown,6,0,6,None Survived
1955,Mar,Unknown,Douglas C-47A,AVIANCA,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,8,0,8,None Survived
1997,May,Night,Boeing B-737-31B,China Southern Airlines,Land,Asia,China,Unknown,Unknown,Unknown,Weather,Rain,No,Unknown,74,0,35,Partial Survived
1988,Jun,Unknown,Military - Ecudorian Air Force,North American Sabreliner 40,Land,South America,Ecuador,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,11,0,11,None Survived
1945,Oct,Afternoon,Consolidated LB-40-A Liberator,Military -Royal Air Force,Land,Europe,England,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,23,0,23,None Survived
2007,Sep,Afternoon,Antonov AN-12BP,Galaxy Kavatsi Airlines,Land,Unknown,Unknown,Unknown,Unknown,DemocratiRepubliCongo,Unknown,Unknown,No,Unknown,8,0,8,None Survived
1997,Jun,Unknown,Harbin Yunshuji Y-12 II,MIAT - Mongolian Airlines,Land,Asia,Mongolia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,12,0,7,Partial Survived
1972,Jan,Unknown,Vickers Viscount 837,Lineas Aéreas la Urraca,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,20,0,20,None Survived
1976,Jul,Unknown,Ilyushin IL-18L,Ceskoslovenske Aerolinie,Land,Unknown,Unknown,Unknown,Unknown,Czechoslovakia,Unknown,Unknown,No,Landing,79,0,76,Partial Survived
1975,Aug,Afternoon,Boeing B-727-224,Continental Airlines,Land,North America,United States,Unknown,Unknown,Colorado,Weather,Rain,No,Takeoff,131,0,0,All Survived
1974,Nov,Unknown,Douglas DC-3,Ethiopian Airlines,Land,Africa,Ethiopia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,24,0,2,Partial Survived
1969,Aug,Evening,Pilatus Pc-6C,Air America,Land,Asia,Laos,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,13,0,13,None Survived
1933,Dec,Unknown,Avro 10,Imperial Airways,Land,Europe,Belgium,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,10,0,10,None Survived
1964,Oct,Unknown,Ilyushin IL-14,Tarom,Land,Europe,Romania,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,32,0,32,None Survived
1965,May,Night,Lockheed 1049G-55 Super Constellation,Iberia Airlines,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Weather,Clear,No,Unknown,49,0,30,Partial Survived
1994,Jun,Unknown,Antonov AN-32,Military - Dostum-Galboddin Militia,Land,Asia,Afghanistan,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,70,0,50,Partial Survived
1979,Mar,Unknown,Yakovlev YAK-40,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,29,0,29,None Survived
1975,Nov,Unknown,Piper PA-23-250 Aztec,Private,Land,Europe,England,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,6,0,6,None Survived
1994,Oct,Unknown,Rockwell Turbo Commander 690B,Seaview Aviation,Land,Oceania,Australia,Unknown,Unknown,NWSW,Unknown,Unknown,No,Unknown,9,0,9,None Survived
1937,Mar,Evening,Douglas DC-2-112,Trans Continental and Western Air,Land,North America,United States,Unknown,Unknown,Pennsylvania,Unknown,Unknown,No,Unknown,13,0,13,None Survived
1929,Oct,Unknown,Loening C-2C,Bremerton-Seattle Air Taxi / Gorst Air Lines,Land,North America,United States,Unknown,Unknown,Washington,Unknown,Unknown,No,Unknown,2,0,2,None Survived
1954,Aug,Unknown,Douglas DC-3,Autrex,Land,Asia,Vietnam,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,3,0,3,None Survived
1951,Oct,Unknown,Douglas DC-3,South African Airways,Land,Africa,South Africa,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,17,0,17,None Survived
1960,Jun,Unknown,Fokker F-27 Friendship 100,Trans Australia Airlines,Land,Unknown,Unknown,Unknown,Unknown,Qld. Australia,Weather,Fog,No,Unknown,29,0,29,None Survived
1998,Aug,Afternoon,DC-3-65TP,Speed Service Couriers,Land,Africa,South Africa,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,1,Partial Survived
1973,Aug,Afternoon,Norman BN-2A-6,Private,Land,North America,Haiti,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,10,0,10,None Survived
1925,Sep,Morning,Dirigible ZR-1 Shenandoah (airship),Military - U.S. Navy,Land,North America,United States,Unknown,Unknown,Ohio,Weather,Thunderstorm,No,Unknown,43,0,14,Partial Survived
2008,Sep,Night,Boeing B-737-505,Aeroflot,Land,Europe,Russia,Unknown,Unknown,Unknown,Human Error,Unknown,No,Landing,88,0,88,None Survived
1992,Jun,Morning,Beechcraft C99,GP Express Airlines,Land,North America,United States,Unknown,Unknown,Alabama,Weather,Rain,No,Landing,6,0,3,Partial Survived
1977,Mar,Afternoon,Lockheed C-130H,Military - Italian Air Force,Land,Europe,Italy,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,44,0,44,None Survived
1963,Oct,Unknown,Antonov AN-12,Military - Soviet Air Force,Land,Africa,Egypt,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,31,0,31,None Survived
1987,Jun,Unknown,Fokker F-27 Friendship 200,Burma Airways,Land,Unknown,Unknown,Unknown,Unknown,Burma,Unknown,Unknown,No,Unknown,45,0,45,None Survived
1984,Aug,Morning,Britten-Norman BN-2A Islander,Vieques Air Link,Land,North America,Puerto Rico,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,9,0,9,None Survived
2005,Sep,Afternoon,Cessna 525 CitationJet I,Viaçao Cometa,Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,2,0,2,None Survived
1960,Sep,Afternoon,Vickers Viscount 739B,United Arab Airlines,Land,Europe,Italy,Unknown,Unknown,Unknown,Weather,Thunderstorm,No,Unknown,21,0,21,None Survived
1978,Jan,Evening,Boeing B-747-237B,Air India,Land,Asia,India,Unknown,Unknown,Maharashtra,Unknown,Unknown,No,Unknown,213,0,213,None Survived
1945,Apr,Morning,Douglas DC-3,Military - U.S. Navy,Land,Oceania,Australia,Unknown,Unknown,Unknown,Weather,Fog,No,Unknown,13,0,13,None Survived
1975,Jul,Unknown,Lockheed L-188AF Electra,Aerovias Condor,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,4,0,2,Partial Survived
1992,Jul,Unknown,Antonov 12BK,Volga-Dnepr Airlines,Land,Europe,Macedonia,Unknown,Unknown,Unknown,Weather,Thunderstorm,No,Landing,8,0,8,None Survived
1994,Aug,Morning,Antonov AN-12,Military - Russian Air Force,Land,Europe,Russia,Unknown,Unknown,Unknown,Weather,Rain,No,Unknown,47,0,47,None Survived
1945,Jan,Night,Martin M-130 (flying boat),Pan American World Airways,Land,Unknown,Unknown,Unknown,Unknown,Trinidad,Unknown,Unknown,No,Landing,30,0,23,Partial Survived
1968,Dec,Unknown,Douglas DC-3,Servicios Aéreos Especiales,Land,North America,Mexico,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,26,0,26,None Survived
2001,Mar,Afternoon,de Havilland Canada DHC-6 Twin Otter,Air Caraibes,Land,Unknown,French West Indies,Unknown,Unknown,St. Barthélémy,Weather,Unknown,No,Unknown,19,1,19,None Survived
1945,Jul,Unknown,Douglas C-47,Military - South African Air Force,Land,Africa,Kenya,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,28,0,28,None Survived
1994,May,Morning,Pilatus Britten-Norman BN-2B-27 Islander,Arall,Land,South America,Colombia,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,11,0,4,Partial Survived
1960,Dec,Afternoon,Douglas DC-3,Philippine Air Lines,Land,Asia,Philippines,Unknown,Unknown,Unknown,Unknown,Unknown,No,Takeoff,37,0,28,Partial Survived
1958,Jun,Unknown,Convair CV-440-59,Cruzeiro,Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,27,0,19,Partial Survived
1999,Feb,Afternoon,Dornier 328-110,Minerva Airlines,Land,Europe,Italy,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,31,0,4,Partial Survived
1977,Dec,Morning,Lockheed P-3B Orion,Military - U.S. Navy,Land,Unknown,Unknown,Unknown,Unknown,Canary Islands,Unknown,Unknown,No,Unknown,13,0,13,None Survived
1970,Sep,Unknown,Fokker F-27 Friendship 300,Icelandair,Land,Europe,Denmark,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,34,0,8,Partial Survived
1960,Jul,Afternoon,Goodyear ZPG-3W (airship),Military - U.S. Navy,Land,North America,United States,Unknown,Unknown,New Jersey,Unknown,Unknown,No,Unknown,21,0,18,Partial Survived
1969,Mar,Afternoon,de Havilland DHC-6,Wien Consolidated Airlines,Land,North America,United States,Unknown,Unknown,Alaska,Unknown,Unknown,No,Unknown,5,0,1,Partial Survived
1994,Dec,Evening,Airbus A300B2-1C,Air France,Land,Africa,Algeria,Unknown,Unknown,Unknown,Unknown,Unknown,No,Unknown,239,0,3,Partial Survived
1962,May,Afternoon,Douglas C-47A,East Anglian Flying Services,Land,Europe,England,Unknown,Unknown,Unknown,Human Error,Unknown,No,Landing,18,0,12,Partial Survived
1994,Apr,Unknown,Dassault Falcon 50,Rwanda Government,Land,Africa,Rwanda,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,12,0,12,None Survived
1962,Nov,Afternoon,Saab Scandia / Cessna 310,VASP / Private,Land,South America,Brazil,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,26,0,26,None Survived
2007,Jun,Afternoon,Cessna 550 Citation II,University of Michigan Health System,Land,Unknown,Unknown,Unknown,Unknown,Wisconson,Unknown,Unknown,No,Unknown,6,0,6,None Survived
1955,Jul,Unknown,Douglas DC-2-243,Lineas Areas Unidas,Land,North America,Mexico,Unknown,Unknown,Unknown,Unknown,Unknown,No,En Route,22,0,22,None Survived
1983,Jul,Evening,Boeing B-767-233ER,Air Canada,Land,North America,Canada,Unknown,Unknown,Manitoba,Unknown,Unknown,No,Unknown,69,0,0,All Survived
1935,May,Unknown,Boeing 221,Wyoming Air Service,Land,North America,United States,Unknown,Unknown,Wyoming,Unknown,Unknown,No,Unknown,1,0,1,None Survived
1969,Sep,Morning,Lockheed EC121R,Military - U.S. Air Force,Land,Asia,Thailand,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,16,4,4,Partial Survived
1990,Feb,Morning,Fokker 27 Friendship 200,TAM (Brazil),Land,South America,Brazil,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,40,2,2,Partial Survived
1968,Jan,Evening,Sikorsky CH-53A (helicopter),Military - U.S. Marine Corps,Land,Unknown,Unknown,Unknown,Unknown,South Vietnam,Unknown,Unknown,No,Unknown,42,0,42,None Survived
1975,Jan,Unknown,Ilyushin IL-18V,Malev Hungarian Airlines,Land,Unknown,Unknown,Unknown,Unknown,Hunary,Weather,Fog,No,Unknown,9,0,9,None Survived
1947,Nov,Unknown,Douglas DC-3,China National Aviation Corporation,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,External,Unknown,No,Unknown,3,0,2,Partial Survived
2002,Mar,Morning,Let 410UVP-E,Djibouti Airlines,Land,Unknown,Unknown,Unknown,Unknown,Republiof Djibouti,Unknown,Unknown,No,Landing,4,0,4,None Survived
1987,Apr,Evening,Beechcraft King Air C90,Scanex Air,Land,Europe,Norway,Unknown,Unknown,Unknown,Unknown,Unknown,No,Landing,10,0,10,None Survived
1999,Dec,Morning,British Aerospace APT,SATA,Land,Unknown,Unknown,Unknown,Unknown,Azores (Portugal),Unknown,Unknown,No,Unknown,35,0,35,None Survived
